IP:Port,Type,Latency,Location
185.76.240.227:10001,http,3.95s,185.76.240.227 (Moscow, Russia)
47.251.74.38:9080,http,9.06s,47.251.74.38 (Minkler, United States)
12.50.107.220:80,http,0.8s,12.50.107.220 (Jacksonville, United States)
34.44.49.215:80,http,0.61s,34.44.49.215 (Council Bluffs, United States)
4.213.167.178:80,http,0.59s,4.213.167.178 (Pune, India)
177.234.247.234:999,http,5.25s,177.234.247.234 (Babahoyo, Ecuador)
31.56.78.170:8080,http,2.78s,31.56.78.170 (Jakarta, Indonesia)
194.102.38.53:80,http,5.14s,194.102.38.53 (Manchester, United Kingdom)
103.148.39.50:82,http,4.09s,103.148.39.50 (Bengaluru, India)
167.103.115.102:8800,http,0.33s,167.103.115.102 (Singapore, Singapore)
103.76.201.109:8080,http,4.21s,103.76.201.109 (Cileungsir, Indonesia)
8.215.3.250:119,http,2.07s,8.215.3.250 (Jakarta, Indonesia)
47.252.11.233:14186,http,2.58s,47.252.11.233 (Charlottesville, United States)
47.238.128.246:83,http,6.09s,47.238.128.246 (Hong Kong, Hong Kong)
149.129.255.179:51,http,2.15s,149.129.255.179 (Jakarta, Indonesia)
8.213.134.213:1081,http,6.2s,8.213.134.213 (Seoul, South Korea)
175.213.76.24:80,http,4.56s,175.213.76.24 (Paju, South Korea)
41.203.83.242:8080,http,7.79s,41.203.83.242 (Lagos, Nigeria)
190.8.164.24:8086,http,4.49s,190.8.164.24 (Valencia, Venezuela)
103.156.17.35:8181,http,5.66s,103.156.17.35 (Jatibarang, Indonesia)
47.90.167.27:3129,http,3.71s,47.90.167.27 (Charlottesville, United States)
191.252.204.220:8080,http,6.36s,191.252.204.220 (São Paulo, Brazil)
47.121.183.107:80,http,5.35s,47.121.183.107 (Shenzhen, China)
93.127.163.52:80,http,0.71s,93.127.163.52 (Paris, France)
47.238.103.100:8888,http,0.9s,47.238.103.100 (Hong Kong, Hong Kong)
190.97.232.54:999,http,7.42s,190.97.232.54 (Sabaneta, Venezuela)
47.91.29.151:4002,http,3.76s,47.91.29.151 (Tokyo, Japan)
103.137.218.113:83,http,5.8s,103.137.218.113 (Bhagalpur, India)
47.238.134.126:6379,http,2.35s,47.238.134.126 (Hong Kong, Hong Kong)
209.135.168.41:80,http,0.96s,209.135.168.41 (Houston, United States)
47.74.46.81:1000,http,4.4s,47.74.46.81 (Tokyo, Japan)
219.93.101.60:80,http,0.81s,219.93.101.60 (Kota Kinabalu, Malaysia)
46.47.197.210:3128,http,2.94s,46.47.197.210 (St Petersburg, Russia)
185.76.240.230:10001,http,1.7s,185.76.240.230 (Moscow, Russia)
47.252.18.37:3128,http,2.56s,47.252.18.37 (Charlottesville, United States)
185.76.240.87:10001,http,4.74s,185.76.240.87 (Moscow, Russia)
47.88.11.3:8118,http,5.41s,47.88.11.3 (Minkler, United States)
185.76.240.129:10001,http,1.9s,185.76.240.129 (Moscow, Russia)
41.220.16.213:80,http,3.32s,41.220.16.213 (Harare, Zimbabwe)
185.76.240.231:10001,http,3.88s,185.76.240.231 (Moscow, Russia)
51.141.175.118:80,http,1.3s,None
142.93.202.130:3128,http,1.57s,None
47.89.159.212:8010,http,5.99s,None
46.17.47.48:80,http,0.79s,None
47.90.149.238:8443,http,3.91s,None
149.129.226.9:2020,http,4.16s,149.129.226.9 (Jakarta, Indonesia)
185.76.240.135:10001,http,1.03s,185.76.240.135 (Moscow, Russia)
47.90.167.27:11,http,2.5s,47.90.167.27 (Charlottesville, United States)
47.238.130.212:20,http,2.13s,47.238.130.212 (Hong Kong, Hong Kong)
185.76.240.61:10001,http,0.83s,185.76.240.61 (Moscow, Russia)
61.158.175.38:9002,http,1.34s,61.158.175.38 (Zhengzhou, China)
192.73.244.36:80,http,0.66s,192.73.244.36 (Los Angeles, United States)
176.88.166.196:8080,http,5.3s,176.88.166.196 (Kilis, Türkiye)
8.130.74.114:8008,http,3.6s,8.130.74.114 (Beijing, China)
185.76.240.254:10001,http,1.14s,185.76.240.254 (Moscow, Russia)
45.190.170.254:999,http,6.04s,45.190.170.254 (Cieneguilla, Peru)
185.76.241.168:10001,http,2.79s,185.76.241.168 (Mayachnaya, Russia)
47.116.210.163:8443,http,3.14s,47.116.210.163 (Shanghai, China)
5.104.87.17:8051,http,1.08s,5.104.87.17 (Tokyo, Japan)
45.146.163.31:80,http,0.74s,45.146.163.31 (Tokyo, Japan)
8.212.165.164:5080,http,4.23s,8.212.165.164 (Manila, Philippines)
115.127.31.66:8080,http,0.92s,115.127.31.66 (Dhaka, Bangladesh)
47.91.121.127:20,http,2.49s,47.91.121.127 (Dubai, United Arab Emirates)
103.125.31.222:80,http,0.21s,103.125.31.222 (Narayanganj, Bangladesh)
46.29.162.166:80,http,1.0s,46.29.162.166 (Moscow, Russia)
103.180.122.64:8080,http,1.27s,103.180.122.64 (Bekasi, Indonesia)
167.103.31.122:8800,http,0.85s,167.103.31.122 (New Delhi, India)
149.129.255.179:119,http,2.22s,149.129.255.179 (Jakarta, Indonesia)
160.119.69.7:8080,http,0.69s,160.119.69.7 (Los Angeles, United States)
185.76.240.146:10001,http,4.12s,185.76.240.146 (Moscow, Russia)
47.238.130.212:8443,http,2.12s,47.238.130.212 (Hong Kong, Hong Kong)
185.76.241.214:10001,http,0.95s,185.76.241.214 (Mayachnaya, Russia)
8.213.128.6:1111,http,2.6s,8.213.128.6 (Seoul, South Korea)
103.213.97.78:80,http,3.43s,103.213.97.78 (Changzhou, China)
103.124.137.99:8080,http,5.65s,103.124.137.99 (Ungaran, Indonesia)
12.50.107.221:80,http,3.31s,12.50.107.221 (Jacksonville, United States)
5.104.87.17:8050,http,0.78s,5.104.87.17 (Tokyo, Japan)
103.126.174.187:8080,http,8.51s,103.126.174.187 (Bandar Lampung, Indonesia)
8.138.131.110:3128,http,3.31s,8.138.131.110 (Guangzhou, China)
37.187.74.125:80,http,0.82s,37.187.74.125 (Roubaix, France)
194.102.38.65:80,http,1.67s,194.102.38.65 (Manchester, United Kingdom)
41.220.16.218:80,http,5.19s,41.220.16.218 (Harare, Zimbabwe)
175.101.240.38:80,http,4.77s,175.101.240.38 (Hyderabad, India)
185.76.241.191:10001,http,5.95s,185.76.241.191 (Mayachnaya, Russia)
23.88.88.102:80,http,1.8s,23.88.88.102 (Nuremberg, Germany)
121.43.109.88:8080,http,6.19s,121.43.109.88 (Hangzhou, China)
219.93.101.63:80,http,1.83s,219.93.101.63 (Kota Kinabalu, Malaysia)
24.152.58.154:999,http,5.09s,24.152.58.154 (Concepción, Colombia)
185.76.240.209:10001,http,70.1s,185.76.240.209 (Moscow, Russia)
45.167.124.52:8080,http,2.23s,45.167.124.52 (Popayán, Colombia)
178.140.3.161:5678,http,1.93s,178.140.3.161 (Moscow, Russia)
101.200.158.109:8808,http,5.57s,101.200.158.109 (Beijing, China)
47.119.22.92:10000,http,3.35s,47.119.22.92 (Shenzhen, China)
103.156.17.39:8818,http,4.81s,103.156.17.39 (Jatibarang, Indonesia)
39.102.214.208:80,http,6.13s,39.102.214.208 (Beijing, China)
16.163.88.228:80,http,0.28s,16.163.88.228 (Hong Kong, Hong Kong)
156.244.11.6:8192,http,5.24s,156.244.11.6 (Riyadh, Saudi Arabia)
103.78.83.22:8083,http,6.59s,103.78.83.22 (Jakarta, Indonesia)
47.121.183.107:3128,http,4.42s,47.121.183.107 (Shenzhen, China)
47.251.87.74:8983,http,5.32s,47.251.87.74 (Minkler, United States)
47.238.203.170:50000,http,1.49s,47.238.203.170 (Hong Kong, Hong Kong)
58.241.88.8:800,http,1.26s,58.241.88.8 (Changzhou, China)
103.253.145.138:6980,http,2.55s,103.253.145.138 (Singapore, Singapore)
178.212.144.7:80,http,0.43s,178.212.144.7 (Sokółka, Poland)
